"Date","Country","Region","Total confirmed cases","Population Incidence Ratio","Total ICU cases","Total deaths","Total Hospital cases","New cases","Total cured","New Hospital cases","New ICU cases","New deaths","New cured"
"2020-03-03 21:00:00","Spain","Andalucía",13,0,1,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Aragón",0,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Asturias",2,0,1,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Baleares",5,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Canarias",7,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Cantabria",10,1,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Castilla La Mancha",12,0,1,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Castilla y León",11,0,1,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Cataluña",15,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Ceuta",0,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Comunidad Valenciana",19,0,0,1,"","","","","","",""
"2020-03-03 21:00:00","Spain","Extremadura",6,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Galicia",1,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Madrid",70,1,2,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Melilla",0,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Murcia",0,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","Navarra",3,0,1,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","País Vasco",17,0,0,0,"","","","","","",""
"2020-03-03 21:00:00","Spain","La Rioja",7,2,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Andalucía",12,0,1,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Aragón",1,0,1,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Asturias",5,0,2,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Baleares",6,0,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Canarias",8,0,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Cantabria",10,1,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Castilla La Mancha",13,0,1,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Castilla y León",11,0,1,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Cataluña",24,0,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Ceuta",0,0,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Comunidad Valenciana",19,0,0,1,"","","","","","",""
"2020-03-04 21:00:00","Spain","Extremadura",6,0,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Galicia",1,0,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Madrid",90,1,2,1,"","","","","","",""
"2020-03-04 21:00:00","Spain","Melilla",0,0,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Murcia",0,0,0,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","Navarra",3,0,1,0,"","","","","","",""
"2020-03-04 21:00:00","Spain","País Vasco",17,0,0,1,"","","","","","",""
"2020-03-04 21:00:00","Spain","La Rioja",11,3,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Andalucía",21,0,1,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Aragón",6,0,1,1,"","","","","","",""
"2020-03-05 21:00:00","Spain","Asturias",5,0,2,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Baleares",6,0,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Canarias",11,0,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Cantabria",10,1,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Castilla La Mancha",15,0,1,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Castilla y León",14,0,1,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Cataluña",24,0,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Ceuta",0,0,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Comunidad Valenciana",30,0,1,1,"","","","","","",""
"2020-03-05 21:00:00","Spain","Extremadura",6,0,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Galicia",3,0,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Madrid",137,2,2,2,"","","","","","",""
"2020-03-05 21:00:00","Spain","Melilla",0,0,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Murcia",0,0,0,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","Navarra",3,0,1,0,"","","","","","",""
"2020-03-05 21:00:00","Spain","País Vasco",45,2,1,1,"","","","","","",""
"2020-03-05 21:00:00","Spain","La Rioja",29,9,0,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Andalucía",54,0,1,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Aragón",13,0,1,1,"","","","","","",""
"2020-03-06 21:00:00","Spain","Asturias",7,0,2,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Baleares",11,0,0,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Canarias",22,1,0,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Cantabria",12,2,0,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Castilla La Mancha",26,1,2,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Castilla y León",23,0,1,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Cataluña",75,0,0,1,"","","","","","",""
"2020-03-06 21:00:00","Spain","Ceuta",0,0,0,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Comunidad Valenciana",37,0,1,1,"","","","","","",""
"2020-03-06 21:00:00","Spain","Extremadura",7,0,0,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Galicia",6,0,0,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Madrid",469,7,53,8,"","","","","","",""
"2020-03-06 21:00:00","Spain","Melilla",0,0,0,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Murcia",4,0,0,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","Navarra",3,0,1,0,"","","","","","",""
"2020-03-06 21:00:00","Spain","País Vasco",149,6,5,5,"","","","","","",""
"2020-03-06 21:00:00","Spain","La Rioja",81,25,1,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Andalucía",71,0,1,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Aragón",38,2,3,3,"","","","","","",""
"2020-03-09 21:00:00","Spain","Asturias",22,2,2,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Baleares",13,1,1,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Canarias",25,1,1,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Cantabria",12,2,0,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Castilla La Mancha",39,1,2,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Castilla y León",56,2,2,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Cataluña",124,1,0,3,"","","","","","",""
"2020-03-09 21:00:00","Spain","Ceuta",0,0,0,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Comunidad Valenciana",50,1,1,1,"","","","","","",""
"2020-03-09 21:00:00","Spain","Extremadura",8,0,0,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Galicia",22,0,2,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Madrid",782,11,77,21,"","","","","","",""
"2020-03-09 21:00:00","Spain","Melilla",0,0,0,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Murcia",9,0,0,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","Navarra",12,1,2,0,"","","","","","",""
"2020-03-09 21:00:00","Spain","País Vasco",195,8,5,6,"","","","","","",""
"2020-03-09 21:00:00","Spain","La Rioja",144,45,1,1,"","","","","","",""
"2020-03-10 21:00:00","Spain","Andalucía",90,1,3,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Aragón",45,3,3,4,"","","","","","",""
"2020-03-10 21:00:00","Spain","Asturias",32,3,2,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Baleares",16,1,1,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Canarias",37,1,1,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Cantabria",12,2,0,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Castilla La Mancha",71,3,5,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Castilla y León",71,2,2,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Cataluña",156,2,0,3,"","","","","","",""
"2020-03-10 21:00:00","Spain","Ceuta",0,0,0,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Comunidad Valenciana",65,1,1,1,"","","","","","",""
"2020-03-10 21:00:00","Spain","Extremadura",9,0,1,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Galicia",39,1,2,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Madrid",1024,15,102,31,"","","","","","",""
"2020-03-10 21:00:00","Spain","Melilla",0,0,0,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Murcia",11,0,0,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","Navarra",46,7,3,0,"","","","","","",""
"2020-03-10 21:00:00","Spain","País Vasco",225,10,15,6,"","","","","","",""
"2020-03-10 21:00:00","Spain","La Rioja",179,56,1,2,"","","","","","",""
"2020-03-11 21:00:00","Spain","Andalucía",115,1,4,0,"","","","","","",""
"2020-03-11 21:00:00","Spain","Aragón",64,4,3,6,"","","","","","",""
"2020-03-11 21:00:00","Spain","Asturias",47,4,2,1,"","","","","","",""
"2020-03-11 21:00:00","Spain","Baleares",22,1,2,1,"","","","","","",""
"2020-03-11 21:00:00","Spain","Canarias",51,2,3,0,"","","","","","",""
"2020-03-11 21:00:00","Spain","Cantabria",16,2,0,0,"","","","","","",""
"2020-03-11 21:00:00","Spain","Castilla La Mancha",115,5,9,1,"","","","","","",""
"2020-03-11 21:00:00","Spain","Castilla y León",92,3,4,0,"","","","","","",""
"2020-03-11 21:00:00","Spain","Cataluña",260,3,0,4,"","","","","","",""
"2020-03-11 21:00:00","Spain","Ceuta",0,0,0,0,"","","","","","",""
"2020-03-11 21:00:00","Spain","Comunidad Valenciana",76,1,2,1,"","","","","","",""
"2020-03-11 21:00:00","Spain","Extremadura",19,1,1,1,"","","","","","",""
"2020-03-11 21:00:00","Spain","Galicia",35,1,2,0,"","","","","","",""
"2020-03-11 21:00:00","Spain","Madrid",1388,20,135,56,"","","","","","",""
"2020-03-11 21:00:00","Spain","Melilla",0,0,0,0,"","","","","","",""
"2020-03-11 21:00:00","Spain","Murcia",26,1,1,0,"","","","","","",""
"2020-03-11 21:00:00","Spain","Navarra",73,11,3,0,"","","","","","",""
"2020-03-11 21:00:00","Spain","País Vasco",346,15,18,11,"","","","","","",""
"2020-03-11 21:00:00","Spain","La Rioja",205,64,1,2,"","","","","","",""
"2020-03-12 21:00:00","Spain","Andalucía",219,2,8,0,"","","","","","",""
"2020-03-12 21:00:00","Spain","Aragón",80,6,3,7,"","","","","","",""
"2020-03-12 21:00:00","Spain","Asturias",67,6,2,1,"","","","","","",""
"2020-03-12 21:00:00","Spain","Baleares",30,2,2,1,"","","","","","",""
"2020-03-12 21:00:00","Spain","Canarias",70,2,2,0,"","","","","","",""
"2020-03-12 21:00:00","Spain","Cantabria",29,4,0,0,"","","","","","",""
"2020-03-12 21:00:00","Spain","Castilla La Mancha",194,9,10,5,"","","","","","",""
"2020-03-12 21:00:00","Spain","Castilla y León",169,6,8,1,"","","","","","",""
"2020-03-12 21:00:00","Spain","Cataluña",316,4,25,4,"","","","","","",""
"2020-03-12 21:00:00","Spain","Ceuta",0,0,0,0,"","","","","","",""
"2020-03-12 21:00:00","Spain","Comunidad Valenciana",94,1,2,1,"","","","","","",""
"2020-03-12 21:00:00","Spain","Extremadura",39,3,1,1,"","","","","","",""
"2020-03-12 21:00:00","Spain","Galicia",85,3,2,0,"","","","","","",""
"2020-03-12 21:00:00","Spain","Madrid",1990,29,180,81,"","","","","","",""
"2020-03-12 21:00:00","Spain","Melilla",2,2,0,0,"","","","","","",""
"2020-03-12 21:00:00","Spain","Murcia",35,2,1,0,"","","","","","",""
"2020-03-12 21:00:00","Spain","Navarra",130,19,4,0,"","","","","","",""
"2020-03-12 21:00:00","Spain","País Vasco",417,18,20,14,"","","","","","",""
"2020-03-12 21:00:00","Spain","La Rioja",243,76,2,2,"","","","","","",""
"2020-03-15 21:00:00","Spain","Andalucía",554,6,11,7,"","","","","","",""
"2020-03-15 21:00:00","Spain","Aragón",174,13,7,11,"","","","","","",""
"2020-03-15 21:00:00","Spain","Asturias",177,17,3,1,"","","","","","",""
"2020-03-15 21:00:00","Spain","Baleares",73,6,4,1,"","","","","","",""
"2020-03-15 21:00:00","Spain","Canarias",119,5,9,1,"","","","","","",""
"2020-03-15 21:00:00","Spain","Cantabria",58,8,2,0,"","","","","","",""
"2020-03-15 21:00:00","Spain","Castilla La Mancha",567,27,23,17,"","","","","","",""
"2020-03-15 21:00:00","Spain","Castilla y León",334,13,24,9,"","","","","","",""
"2020-03-15 21:00:00","Spain","Cataluña",903,11,33,12,"","","","","","",""
"2020-03-15 21:00:00","Spain","Ceuta",1,1,0,0,"","","","","","",""
"2020-03-15 21:00:00","Spain","Comunidad Valenciana",409,7,4,5,"","","","","","",""
"2020-03-15 21:00:00","Spain","Extremadura",111,9,1,2,"","","","","","",""
"2020-03-15 21:00:00","Spain","Galicia",245,9,9,2,"","","","","","",""
"2020-03-15 21:00:00","Spain","Madrid",4165,62,253,213,"","","","","","",""
"2020-03-15 21:00:00","Spain","Melilla",8,9,0,0,"","","","","","",""
"2020-03-15 21:00:00","Spain","Murcia",77,5,2,0,"","","","","","",""
"2020-03-15 21:00:00","Spain","Navarra",274,41,5,1,"","","","","","",""
"2020-03-15 21:00:00","Spain","País Vasco",630,28,29,23,"","","","","","",""
"2020-03-15 21:00:00","Spain","La Rioja",312,98,13,4,"","","","","","",""
"2020-03-16 21:00:00","Spain","Andalucía",683,7,13,11,"","","","","","",""
"2020-03-16 21:00:00","Spain","Aragón",207,15,9,12,"","","","","","",""
"2020-03-16 21:00:00","Spain","Asturias",193,18,5,1,"","","","","","",""
"2020-03-16 21:00:00","Spain","Baleares",92,7,4,1,"","","","","","",""
"2020-03-16 21:00:00","Spain","Canarias",148,6,13,2,"","","","","","",""
"2020-03-16 21:00:00","Spain","Cantabria",58,8,2,0,"","","","","","",""
"2020-03-16 21:00:00","Spain","Castilla La Mancha",567,27,23,17,"","","","","","",""
"2020-03-16 21:00:00","Spain","Castilla y León",431,17,24,12,"","","","","","",""
"2020-03-16 21:00:00","Spain","Cataluña",1394,17,33,18,"","","","","","",""
"2020-03-16 21:00:00","Spain","Ceuta",1,1,0,0,"","","","","","",""
"2020-03-16 21:00:00","Spain","Comunidad Valenciana",541,10,27,13,"","","","","","",""
"2020-03-16 21:00:00","Spain","Extremadura",153,13,2,3,"","","","","","",""
"2020-03-16 21:00:00","Spain","Galicia",292,10,9,3,"","","","","","",""
"2020-03-16 21:00:00","Spain","Madrid",4871,72,340,355,"","","","","","",""
"2020-03-16 21:00:00","Spain","Melilla",17,19,0,0,"","","","","","",""
"2020-03-16 21:00:00","Spain","Murcia",97,6,3,0,"","","","","","",""
"2020-03-16 21:00:00","Spain","Navarra",313,47,10,2,"","","","","","",""
"2020-03-16 21:00:00","Spain","País Vasco",765,34,33,36,"","","","","","",""
"2020-03-16 21:00:00","Spain","La Rioja",355,111,13,5,"","","","","","",""
"2020-03-17 21:00:00","Spain","Andalucía",859,10,21,19,"","","","","","",""
"2020-03-17 21:00:00","Spain","Aragón",226,17,9,13,"","","","","","",""
"2020-03-17 21:00:00","Spain","Asturias",242,23,5,1,"","","","","","",""
"2020-03-17 21:00:00","Spain","Baleares",112,9,4,1,"","","","","","",""
"2020-03-17 21:00:00","Spain","Canarias",181,8,17,3,"","","","","","",""
"2020-03-17 21:00:00","Spain","Cantabria",68,9,3,1,"","","","","","",""
"2020-03-17 21:00:00","Spain","Castilla La Mancha",675,32,29,28,"","","","","","",""
"2020-03-17 21:00:00","Spain","Castilla y León",668,27,43,22,"","","","","","",""
"2020-03-17 21:00:00","Spain","Cataluña",1866,24,33,41,"","","","","","",""
"2020-03-17 21:00:00","Spain","Ceuta",1,1,0,0,"","","","","","",""
"2020-03-17 21:00:00","Spain","Comunidad Valenciana",726,14,40,22,"","","","","","",""
"2020-03-17 21:00:00","Spain","Extremadura",194,17,3,6,"","","","","","",""
"2020-03-17 21:00:00","Spain","Galicia",341,12,12,3,"","","","","","",""
"2020-03-17 21:00:00","Spain","Madrid",5637,83,491,390,"","","","","","",""
"2020-03-17 21:00:00","Spain","Melilla",20,23,0,0,"","","","","","",""
"2020-03-17 21:00:00","Spain","Murcia",122,8,4,0,"","","","","","",""
"2020-03-17 21:00:00","Spain","Navarra",386,58,10,3,"","","","","","",""
"2020-03-17 21:00:00","Spain","País Vasco",973,43,37,40,"","","","","","",""
"2020-03-17 21:00:00","Spain","La Rioja",419,130,13,5,"","","","","","",""
"2020-03-18 21:00:00","Spain","Andalucía",1008,11,25,23,"","","","","","",""
"2020-03-18 21:00:00","Spain","Aragón",281,21,14,15,"","","","","","",""
"2020-03-18 21:00:00","Spain","Asturias",292,28,6,1,"","","","","","",""
"2020-03-18 21:00:00","Spain","Baleares",169,14,7,2,"","","","","","",""
"2020-03-18 21:00:00","Spain","Canarias",220,9,23,3,"","","","","","",""
"2020-03-18 21:00:00","Spain","Cantabria",83,12,4,1,"","","","","","",""
"2020-03-18 21:00:00","Spain","Castilla La Mancha",801,38,37,42,"","","","","","",""
"2020-03-18 21:00:00","Spain","Castilla y León",868,35,54,29,"","","","","","",""
"2020-03-18 21:00:00","Spain","Cataluña",2702,34,33,55,"","","","","","",""
"2020-03-18 21:00:00","Spain","Ceuta",1,1,0,0,"","","","","","",""
"2020-03-18 21:00:00","Spain","Comunidad Valenciana",921,18,52,24,"","","","","","",""
"2020-03-18 21:00:00","Spain","Extremadura",241,22,3,8,"","","","","","",""
"2020-03-18 21:00:00","Spain","Galicia",453,16,15,4,"","","","","","",""
"2020-03-18 21:00:00","Spain","Madrid",6777,100,590,498,"","","","","","",""
"2020-03-18 21:00:00","Spain","Melilla",23,26,0,0,"","","","","","",""
"2020-03-18 21:00:00","Spain","Murcia",167,11,6,0,"","","","","","",""
"2020-03-18 21:00:00","Spain","Navarra",482,73,11,4,"","","","","","",""
"2020-03-18 21:00:00","Spain","País Vasco",1190,53,44,53,"","","","","","",""
"2020-03-18 21:00:00","Spain","La Rioja",468,144,15,5,"","","","","","",""
"2020-03-19 21:00:00","Spain","Andalucía",1287,15,38,30,"","","","","","",""
"2020-03-19 21:00:00","Spain","Aragón",360,26,28,17,"","","","","","",""
"2020-03-19 21:00:00","Spain","Asturias",344,33,7,2,"","","","","","",""
"2020-03-19 21:00:00","Spain","Baleares",203,17,10,2,"","","","","","",""
"2020-03-19 21:00:00","Spain","Canarias",287,12,25,4,"","","","","","",""
"2020-03-19 21:00:00","Spain","Cantabria",144,23,7,1,"","","","","","",""
"2020-03-19 21:00:00","Spain","Castilla La Mancha",1044,50,37,62,"","","","","","",""
"2020-03-19 21:00:00","Spain","Castilla y León",1147,47,69,43,"","","","","","",""
"2020-03-19 21:00:00","Spain","Cataluña",3270,42,33,82,"","","","","","",""
"2020-03-19 21:00:00","Spain","Ceuta",5,5,0,0,"","","","","","",""
"2020-03-19 21:00:00","Spain","Comunidad Valenciana",1105,21,71,33,"","","","","","",""
"2020-03-19 21:00:00","Spain","Extremadura",297,27,4,10,"","","","","","",""
"2020-03-19 21:00:00","Spain","Galicia",578,21,19,5,"","","","","","",""
"2020-03-19 21:00:00","Spain","Madrid",7165,105,678,628,"","","","","","",""
"2020-03-19 21:00:00","Spain","Melilla",24,27,1,0,"","","","","","",""
"2020-03-19 21:00:00","Spain","Murcia",204,13,11,0,"","","","","","",""
"2020-03-19 21:00:00","Spain","Navarra",554,84,19,5,"","","","","","",""
"2020-03-19 21:00:00","Spain","País Vasco",1465,64,53,71,"","","","","","",""
"2020-03-19 21:00:00","Spain","La Rioja",497,147,15,7,"","","","","","",""
"2020-03-20 21:00:00","Spain","Andalucía",1515,17,53,40,605.0,228.0,"","","","",""
"2020-03-20 21:00:00","Spain","Aragón",424,31,33,22,192.0,64.0,"","","","",""
"2020-03-20 21:00:00","Spain","Asturias",486,47,12,5,133.0,142.0,"","","","",""
"2020-03-20 21:00:00","Spain","Baleares",246,20,14,4,60.0,43.0,"","","","",""
"2020-03-20 21:00:00","Spain","Canarias",348,15,29,7,139.0,61.0,"","","","",""
"2020-03-20 21:00:00","Spain","Cantabria",215,35,9,2,92.0,71.0,"","","","",""
"2020-03-20 21:00:00","Spain","Castilla La Mancha",1423,69,65,84,635.0,379.0,"","","","",""
"2020-03-20 21:00:00","Spain","Castilla y León",1466,60,85,55,575.0,319.0,"","","","",""
"2020-03-20 21:00:00","Spain","Cataluña",4203,54,298,122,1681.0,933.0,"","","","",""
"2020-03-20 21:00:00","Spain","Ceuta",5,5,0,0,0.0,0.0,"","","","",""
"2020-03-20 21:00:00","Spain","Comunidad Valenciana",1363,26,84,50,476.0,258.0,"","","","",""
"2020-03-20 21:00:00","Spain","Extremadura",354,32,6,12,65.0,57.0,"","","","",""
"2020-03-20 21:00:00","Spain","Galicia",739,27,29,9,168.0,161.0,"","","","",""
"2020-03-20 21:00:00","Spain","Madrid",8921,131,767,804,7388.0,1756.0,"","","","",""
"2020-03-20 21:00:00","Spain","Melilla",25,28,1,0,8.0,1.0,"","","","",""
"2020-03-20 21:00:00","Spain","Murcia",240,16,14,1,61.0,36.0,"","","","",""
"2020-03-20 21:00:00","Spain","Navarra",664,101,25,9,222.0,110.0,"","","","",""
"2020-03-20 21:00:00","Spain","País Vasco",1725,76,71,85,654.0,260.0,"","","","",""
"2020-03-20 21:00:00","Spain","La Rioja",564,165,17,15,128.0,67.0,"","","","",""
"2020-03-21 21:00:00","Spain","Andalucía",1725,20,55,47,724.0,210.0,"","","","",""
"2020-03-21 21:00:00","Spain","Aragón",532,39,45,24,241.0,108.0,"","","","",""
"2020-03-21 21:00:00","Spain","Asturias",545,52,15,8,171.0,59.0,"","","","",""
"2020-03-21 21:00:00","Spain","Baleares",331,28,14,4,79.0,85.0,"","","","",""
"2020-03-21 21:00:00","Spain","Canarias",414,18,32,9,150.0,66.0,"","","","",""
"2020-03-21 21:00:00","Spain","Cantabria",282,46,9,5,116.0,67.0,"","","","",""
